Network Reference ID,Parent Network Reference ID,Substation Name,Substation Number,Asset Type,Latitude,Longitude,Bulk Supply Point Name,Primary Substation
245424,245423,Court Road Barry,510104,Primary,51.4105,-3.2621,,COURT ROAD 11kV
314839,314586,Courtaulds 33/6.6kv,930026,Primary,52.4246,-1.5053,Coventry Central,Courtaulds 6.6
314846,314586,Courthouse Green 33/11kv S Stn,930033,Primary,52.4302,-1.4843,Coventry Central,Courthouse Green 11
314848,314586,Courthouse Green 33/6 6kv S Stn,930035,Primary,52.4302,-1.4844,Coventry Central,Courthouse Green 6.6
437337,314586,Courthouse Green 33/6.6kv,938993,Primary,52.4302,-1.4843,,
314533,,Coventry 275/132kv,690002,GSP,52.4555,-1.464,,
314910,314582,Coventry Arena 33/11kv,930083,Primary,52.4496,-1.4933,Coventry North,Coventry Arena
314586,314531,Coventry Central 33kv S Stn,930013,BSP,52.42,-1.5074,Coventry Central,
314859,314582,Coventry North 11kv S Stn,930046,Primary,52.4536,-1.4676,Coventry North,Coventry North 11
314582,314533,Coventry North 33kv S Stn,930009,BSP,52.4535,-1.4678,Coventry North,
314845,314598,Coventry South 11kv S Stn,930032,Primary,52.4059,-1.5387,,
314593,314531,Coventry South 132/33/11kv,690014,BSP,52.4052,-1.539,Coventry South 132 11,Coventry South 132 11
314585,314531,Coventry South 33kv S Stn,930012,BSP,52.4056,-1.539,Coventry South (GT1),
314587,314531,Coventry West 33kv S Stn,930014,BSP,52.4016,-1.605,Coventry West,
314838,314587,Coventry West 6 6kv S Stn,930025,Primary,52.4015,-1.6054,Coventry West,Coventry West 6.6
245409,245423,Cowbridge,560105,Primary,51.4621,-3.4472,,COWBRIDGE 11kV
315038,314769,Cowhorn 33/11kv,790011,Primary,51.446,-2.4774,Chipping Sodbury 132 33,Cowhorn 33 11
15170,54,Cowley Road,310014,Primary,50.7336,-3.5403,EXETER CITY 33kV,COWLEY ROAD 11kV
314844,314586,Cox Street 33 6 6kv S Stn,930031,Primary,52.4095,-1.5022,Coventry Central,Cox Street 6.6
315000,314617,Craggs Lane 33 11kv S Stn,890032,Primary,53.274,-1.1998,Whitwell,Craggs Lane
315235,314707,Cranwell 33 11kv S Stn,910031,Primary,53.0367,-0.4983,Sleaford,Cranwell (RAF)
315050,314797,Craven Arms 33/11kv,750003,Primary,52.4409,-2.8317,Ludlow 132 33,Craven Arms 33 11
15171,54,Crediton,310015,Primary,50.7902,-3.6699,EXETER CITY 33kV,CREDITON 11kV
15105,127,Creech St Michael,210030,Primary,51.0153,-3.0257,BRIDGWATER 33kV 'J' BAR,CREECH ST MICHAEL 11kV
245503,253131,Creigiau,540106,Primary,51.5252,-3.3193,,CREIGIAU 11kV
15141,91,Crewkerne,250370,Primary,50.8816,-2.7849,WOODCOTE 33kV BAR,CREWKERNE 11kV
136475,106,Cribbs Causeway,113983,Primary,51.5282,-2.5933,BRADLEY STOKE 33kV,CRIBBS CAUSEWAY 11kV
315372,314736,Crick 33 11kv S Stn,940068,Primary,52.3519,-1.1648,Daventry,Crick
245394,245518,Crickhowell,610107,Primary,51.8659,-3.1292,,CRICKHOWELL 11kV A
315144,314657,Cromford 33 11kv S Stn,890073,Primary,53.1021,-1.565,Winster,Cromford
245471,245341,Cross Hands,520307,Primary,51.7856,-4.0754,,CROSSHANDS 11kV
315233,314708,Crowland 33/11kv,910029,Primary,52.6833,-0.1639,Spalding & South Holland,Crowland
315005,314611,Crown Farm 33/11kv,890037,Primary,53.1475,-1.1571,Clipstone,Crown Farm
245447,245530,Crumlin Primary,550011,BSP,51.6741,-3.1584,,CRUMLIN 33kV
253423,245447,Crumlin Primary,550011,Primary,51.6741,-3.1584,,CRUMLIN 11kV
245440,252931,Crwys Road,510108,Primary,51.4966,-3.1815,,CRWYS ROAD 11kV
15179,67,Cullompton,310024,Primary,50.8585,-3.4037,TIVERTON 33kV,CULLOMPTON 11kV
15125,78,Culmhead,210390,Primary,50.9381,-3.1115,TAUNTON 33kV 'J' BAR,CULMHEAD 11kV
15126,127,Curry Mallet,210450,Primary,50.9866,-2.9449,BRIDGWATER 33kV 'J' BAR,CURRY MALLET 11kV
245453,245457,Cwmbran Primary,530110,BSP,51.6531,-3.0254,,
253418,245453,Cwmbran Primary,530110,Primary,51.6531,-3.0254,,CWMBRAN 11kV
245506,245447,Cwmfelinfach,550111,Primary,51.6174,-3.1816,,CWMFELINFACH 11kV
245327,245324,Cwmffrwd,580296,Primary,51.8328,-4.299,,CWMFFRWD 11kV
245445,252931,Cyncoed,510115,Primary,51.518,-3.1618,,CYNCOED 11kV
264757,24,Dairy Crest Davidstow,437470,Primary,50.65,-4.6354,St TUDY 33kV,DAIRY CREST 11KV
314923,314618,Daneshill 33kv,890017,Primary,53.3741,-0.9857,,
315167,314664,Danesmoor 33/11kv,890094,Primary,53.1634,-1.3944,Chesterfield 33,Danesmoor
315185,314674,Darley Abbey 33 11kv S Stn,870039,Primary,52.9438,-1.4858,Derby 33,Darley Abbey
310,41,Dartmouth,340030,Primary,50.3478,-3.6023,PAIGNTON 33kV,DARTMOUTH 11kV
315333,314736,Daventry 11kv S Stn,940049,Primary,52.2595,-1.1549,Daventry,Daventry 11
314736,314533,Daventry 33kv S Stn,940008,BSP,52.2593,-1.1548,Daventry,
15285,24,Davidstow,437410,Primary,50.655,-4.6172,St TUDY 33kV,DAVIDSTOW 11KV
15215,42,Dawlish,340023,Primary,50.5787,-3.4806,NEWTON ABBOT 33kV OUTER BAR,DAWLISH 11kV
15286,24,Delabole,437420,Primary,50.6267,-4.7132,St TUDY 33kV,DELABOLE 11KV
315153,314666,Denby 33/11kv,890082,Primary,53.0156,-1.43,Heanor,Denby
315351,314739,Denton 33/11kv,940066,Primary,52.2173,-0.7765,Northampton East,Denton
315182,314681,Derby 11kv S Stn,870036,Primary,52.9256,-1.4763,,
314681,314551,Derby 132/33/11kv,680041,BSP,52.9257,-1.4764,Derby 132 11 (No. 1 Switchboard),Derby 132 11 (No. 1 Switchboard)
314674,314551,Derby 33kv S Stn,870012,BSP,52.9258,-1.4766,Derby 33,
314660,314551,Derby South 33kv S Stn,870005,BSP,52.8858,-1.4612,Derby South (GT1),
315354,314740,Desborough 33/11kv,920048,Primary,52.4452,-0.815,Kettering,Desborough
315078,314652,Desford 33/11kv,930093,Primary,52.6394,-1.2715,Coalville,Desford
15261,8,Devoran,417310,Primary,50.2182,-5.1004,TRURO 33kV,DEVORAN 11kV
314855,314581,Dillotford Ave 33 11kv S Stn,930042,Primary,52.3881,-1.5068,Coventry South,Dillotford Avenue
15070,119,Dinder,160811,Primary,51.2075,-2.5861,RADSTOCK 33kV,DINDER 11kV
315266,314698,Doddington Park 33/11kv,900028,Primary,53.206,-0.6156,Lincoln 33,Doddington Park
315228,314704,Donington 33/11kv,910024,Primary,52.9154,-0.1889,Boston,Donington
